country,1750,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,,,,0.075,0.099,0.106,0.108,0.102,0.116,0.117,0.132,0.137,0.131,0.135,0.14,0.135,0.144,0.119,0.162,0.175,0.185,0.193,0.231,0.286,0.314,0.353,0.388,0.335,0.419,0.47,0.548,0.537,0.598,0.576,0.589,0.587,0.702,0.799,0.782,0.905,1.027,1.175,1.734,1.395,1.452,1.496,1.48,1.36,1.167,1.223,0.816,1.108,1.36,1.443,1.626,2.222,2.174,2.31,1.953,1.662,1.696,1.513,1.491,1.809,4.783,2.068,2.107,2.317,2.238,2.332,2.181,2.331,2.253,2.405,2.413,2.74,2.625,3.18,3.224,3.586,3.711,3.97,4.174,4.193,4.632,4.694,4.211,4.168,4.368,4.546,5.376,6.648,9.252,6.675,8.945,7.458,7.844,9.277,7.572,5.402,1.392,0.53,0.514,0.465,2.24,2.978,2.856,2.722,3.066,2.888,2.821,3.038,3.188,3.627,2.824,2.706,2.266,2.124,2.053,2.077,2.027,2.275,0.862,0.943,1.092,1.183,1.264,1.417,1.38,0.668,1.863,2.565,3.55,3.841,3.012,3.357,3.186,3.133,3.531,4.185,4.057,4.189,4.02,3.979,4.369,4.491,4.75,5.15,5.385,5.246,5.356,5.412,5.705,6.0,6.782,6.944,7.434,7.913,7.542,7.155,7.695,7.4,7.569,8.125,6.893,7.379,7.075,6.835,7.173,7.189,7.1,7.577,6.98,7.047,8.096,8.48,7.686,7.677,7.696,8.059,8.468,8.445,8.39,8.218,8.261,8.728,8.909,9.532,9.509,9.614,9.291,8.936,8.832,8.069,8.612,8.331,7.982,7.993,7.509,7.679,7.695,7.912,7.53,7.653,6.974,7.399,6.878
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.652,1.18,1.236,1.187,1.136,1.217,1.419,1.508,1.526,1.658,1.894,1.796,1.85,1.698,1.847,1.929,2.086,2.149,1.894,1.981,2.1,2.272,2.532,2.6,2.862,2.914,2.86,2.959,3.089,3.164,3.209,3.449,3.401,3.559,3.709,3.881,4.15,4.463,4.006,4.283,4.858,4.619,4.944,5.385,4.924,5.075,4.918,4.643,5.006,5.054,5.496,5.483,5.753,6.041,5.894,5.703,5.482,5.746,6.041,6.113,6.546,6.151,6.083,5.761,6.299,6.286,6.558,6.72,6.86,7.099,7.406,6.893,7.133,7.601,7.193,7.103,8.036,8.063,7.911,7.83,8.252,8.266,8.657,9.083,5.415,4.591,6.104,4.828,4.489,5.961,7.304,6.663,7.332,9.363,9.866,10.03,9.917,11.473,11.116,12.139,11.666,10.428,8.361,8.942,9.194,8.759,9.14,10.967,9.578,8.894,7.468,7.812,7.295,6.886,3.931,4.581,6.645,9.63,9.951,9.413,8.843,10.335,9.598,9.424,9.757,10.416,10.897,10.802,9.756,9.759,9.98,10.111,10.619,11.377,11.075,11.191,11.102,11.283,12.394,12.874,13.032,12.556,13.467,14.252,13.842,12.477,13.268,12.895,13.821,14.243,13.718,12.554,11.88,10.257,10.631,10.526,10.353,10.362,10.057,10.747,12.078,12.352,12.229,12.09,12.394,12.475,12.79,12.21,12.781,12.195,12.346,12.228,12.251,12.329,12.315,11.945,11.705,11.307,11.203,9.977,10.535,9.59,9.283,9.251,8.681,8.992,8.803,8.701,8.732,8.642,7.88,8.239,7.688
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.002,0.002,0.003,0.006,0.008,0.01,0.012,0.014,0.017,0.022,0.023,0.028,0.029,0.038,0.038,0.055,0.068,0.059,0.057,0.072,0.085,0.074,0.105,0.137,0.137,0.142,0.199,0.196,0.17,0.253,0.161,0.193,0.236,0.29,0.169,0.219,0.268,0.291,0.304,0.343,0.331,0.321,0.322,0.372,0.425,0.405,0.379,0.434,0.383,0.394,0.395,0.398,0.437,0.492,0.535,0.624,0.667,0.799,0.861,0.645,0.759,0.719,0.847,0.884,1.05,1.048,1.129,1.293,1.438,1.531,1.608,1.707,1.875,2.017,2.509,2.822,3.256,3.819,4.239,5.236,5.612,5.863,6.584,7.047,7.789,7.127,7.428,7.595,7.85,8.074,8.23,8.196,8.483,9.065,8.795,8.602,8.92,10.016,10.055,9.737,10.006,10.253,10.295,9.836,9.823,8.741,7.046,6.611,6.777,6.594,6.831,6.958,6.709,6.45,5.675,5.608,6.089,5.781,6.375,6.297,6.474,6.675,7.214,7.039,5.994,6.297,7.043,6.449,5.731,6.126,6.584,6.257,6.604,6.109,5.988,5.235,6.14,6.804
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.006,0.007,0.008,0.014,0.027,0.027,0.03,0.023,0.035,0.04,0.054,0.058,0.054,0.058,0.061,0.066,0.078,0.079,0.084,0.086,0.084,0.09,0.092,0.249,0.0,0.0,0.0,0.0,0.0,0.169,0.223,0.235,0.339,0.366,0.372,0.405,0.391,0.438,0.487,0.533,0.498,0.449,0.407,0.373,0.385,0.399,0.391,0.432,0.404,0.421,0.486,0.0,0.0,0.017,0.004,0.234,0.456,0.626,0.701,0.795,0.76,0.712,0.708,0.697,0.824,0.935,1.061,1.141,1.116,1.27,1.377,1.433,1.459,1.612,1.815,1.856,1.827,1.835,1.953,2.015,2.626,2.818,2.627,3.13,3.13,3.252,3.343,3.236,3.602,3.901,3.815,4.125,3.769,4.039,4.238,4.3,4.468,4.342,4.468,4.446,4.714,3.506,3.411,3.507,3.33,3.498,3.645,3.939,4.08,4.348,4.322,4.611,4.882,5.203,5.15,5.269,5.33,5.643,5.37,4.976,4.811,4.745,4.405,4.278,4.127,4.189,4.287,4.471,4.26,4.324,4.118,4.288,4.349
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,0.112,0.146,0.158,0.118,0.212,0.183,0.227,0.205,0.217,0.231,0.291,0.285,0.402,0.406,0.297,0.374,0.32,0.457,0.391,0.431,0.366,0.567,0.518,0.501,0.587,0.506,0.606,0.622,0.592,0.591,0.632,0.735,0.77,0.754,0.709,0.792,0.894,0.937,0.996,1.133,1.117,1.159,1.1,1.117,1.245,1.316,1.248,1.328,1.35,1.263,1.417,1.453,1.758,1.864,1.915,2.07,2.007,2.066,2.096,2.156,2.298,2.209,2.377,2.094,2.567,2.807,2.547,2.681,3.142,3.186,3.227,3.415,3.298,2.372,2.736,2.568,2.219,2.075,2.92,3.157,3.668,3.159,3.057,3.858,3.603,4.303,3.894,4.006,3.726,3.681,4.0,4.133,4.243,4.347,3.873,4.279,3.855,4.482,4.2,5.201,5.06,3.466,4.307,5.181,4.078,3.992,5.152,5.098,5.287,5.307,5.82,6.114,5.914,5.544,5.925,5.72,6.493,6.872,7.94,8.688,9.145,9.312,10.441,10.14,10.944,12.12,12.602,11.512,11.96,11.819,10.929,11.014,11.825,12.124,11.945,12.288,11.762,10.087,10.459,9.777,9.916,11.716,11.486,11.372,10.732,9.483,10.395,12.427,11.27,11.663,12.404,11.777,14.25,12.4,11.557,11.025,10.169,10.427,10.329,11.238,10.174,9.48,10.902,9.984,9.315,8.84,8.862,7.933,7.117,7.424,6.649,6.184,6.469,6.042,6.002,5.34,4.858,5.058,4.94
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.001,0.0,0.0,,,,,,,,,,,,,,,,,0.002,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.009,0.01,0.013,0.016,0.014,0.015,0.016,0.015,0.048,0.054,0.045,0.06,0.064,0.086,0.087,0.081,0.097,0.11,0.135,0.136,0.176,0.178,0.206,0.215,0.224,0.251,0.252,0.271,0.275,0.288,0.296,0.316,0.354,0.385,0.403,0.466,0.469,0.533,0.536,0.612,0.679,0.778,0.871,0.883,0.843,0.815,0.896,0.79,0.89,0.985,0.979,1.021,0.99,1.014,1.134,1.217,1.085,0.984,1.036,0.942,0.371,0.314,0.284,0.306,0.372,0.411,0.489,0.482,0.698,0.868,0.974,1.046,1.416,1.699,1.912,2.137,2.585,2.927,3.359,3.437,3.63,3.675,4.398,3.87,2.105,2.203,3.202,3.399,3.831,4.624,4.934,5.609,6.237,6.674,7.06,7.384,7.979,8.951,9.717,10.538,11.163,11.669,12.041,12.265,12.718,13.482,14.17,14.86,15.527,16.063,16.332,16.824,17.526,18.428,19.214,19.856,20.438,21.309,21.954,22.516,23.098,23.133,23.909,23.314,23.602,23.775,23.823,25.534,25.213,24.894,24.727,25.105,23.506,21.811,15.854,12.921,13.583,12.432,13.273,13.143,12.005,11.356,11.083,11.442,11.144,12.595,12.718,12.621,12.211,14.876,13.33,10.803,14.251,14.28,13.436,14.917,14.323,12.037,13.29,14.222,13.527,9.287,6.949,7.842,7.776
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.042,0.042,0.044,0.027,0.036,0.04,0.036,0.05,0.04,0.052,0.064,0.051,0.048,0.067,0.044,0.05,0.058,0.065,0.038,0.048,0.048,0.057,0.055,0.066,0.1,0.057,0.057,0.053,0.069,0.089,0.092,0.08,0.079,0.089,0.094,0.117,0.202,0.189,0.282,0.227,0.158,0.148,0.188,0.192,0.211,0.219,0.312,0.491,0.443,0.364,0.447,0.5,0.557,0.229,0.035,0.059,0.039,0.024,0.077,0.088,0.089,0.223,0.458,0.536,0.521,0.482,0.852,0.926,0.983,0.77,0.869,0.865,0.917,1.116,0.986,1.382,1.875,1.564,1.328,0.626,0.871,0.749,1.043,0.714,0.166,0.847,1.395,2.147,1.242,1.633,1.971,2.116,1.828,2.186,2.58,2.841,2.831,2.433,3.084,3.405,3.345,3.738,4.274,5.018,5.543,6.436,6.205,7.192,8.195,8.76,8.789,9.506,10.57,9.937,9.769,10.834,10.58,10.905,11.383,12.164,10.709,8.904,8.539,8.634,10.108,10.82,11.665,10.524,10.565,11.414,11.007,10.762,11.115,12.132,11.378,12.495,12.198,11.517,11.396,11.014,12.05,12.506,13.937,13.186,10.874,12.983,12.623,11.033,10.472,11.948,10.512,9.447,9.508,8.719,8.064,8.598,8.107,8.291,7.689,6.824,6.855,6.527
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,,0.074,,,,,,0.07,0.068,0.073,0.067,0.068,0.076,0.081,0.086,0.077,0.082,0.093,0.096,0.1,0.1,0.11,0.123,0.126,0.181,0.19,0.184,0.197,0.181,0.199,0.215,0.263,0.272,0.311,0.33,0.343,0.333,0.338,0.394,0.413,0.412,0.43,0.501,0.518,0.58,0.463,0.48,0.54,0.55,0.591,0.692,0.796,0.899,0.94,0.955,0.934,0.943,1.025,1.106,1.164,1.178,1.245,1.308,1.417,1.432,1.461,1.494,1.323,1.314,1.59,1.716,1.631,1.697,1.697,1.658,1.689,1.746,1.966,2.01,2.117,2.215,2.123,2.037,2.016,2.119,2.2,2.25,2.474,2.475,2.475,2.427,2.564,2.583,2.668,2.79,2.882,3.01,3.23,3.12,2.933,3.22,3.133,3.165,3.387,3.607,3.63,3.714,3.733,3.901,3.96,4.298,2.99,2.623,2.804,3.126,2.804,3.012,3.939,3.573,4.21,4.722,5.264,5.412,5.374,5.322,5.253,5.787,5.85,5.345,4.713,4.907,4.963,4.823,4.897,5.39,5.003,4.827,3.415,2.968,3.024,3.081,1.96,2.617,4.02,4.451,4.746,5.506,4.834,5.421,5.336,5.003,5.237,5.482,6.108,6.259,5.947,5.794,6.485,6.841,7.138,7.173,7.742,7.546,7.813,8.228,8.424,8.852,9.113,9.68,9.997,10.396,9.981,9.193,9.935,9.579,9.944,9.959,9.514,8.503,8.107,7.753,7.511,7.352,7.048,6.968,6.896,7.114,6.974,7.375,7.17,6.808,6.667,6.73,6.992,6.838,7.127,7.067,6.929,6.965,6.845,6.906,6.882,6.877,6.67,6.46,6.309,5.974,6.03,5.641,5.651,5.66,5.143,5.194,5.22,5.252,5.011,4.898,4.366,4.754,4.604
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.029,0.03,0.028,0.052,0.053,0.047,0.133,0.044,0.045,0.046,0.043,0.042,0.04,0.039,0.045,0.102,0.143,0.146,0.134,0.136,0.14,0.142,0.156,0.124,0.164,0.157,0.168,0.166,0.131,0.171,0.162,0.12,0.151,0.151,0.167,0.174,0.197,0.218,0.228,0.295,0.304,0.344,0.323,0.338,0.389,0.404,0.42,0.386,0.407,0.449,0.496,0.56,0.602,0.702,0.818,0.878,0.929,0.997,0.939,1.003,1.13,1.235,1.327,1.508,1.675,1.646,1.793,1.911,1.975,1.932,2.13,2.275,2.403,1.73,2.427,2.447,2.37,2.42,2.539,2.822,3.013,3.193,3.37,3.435,3.482,3.488,3.611,3.912,4.132,4.278,4.482,4.308,4.362,4.473,4.581,4.859,5.116,5.264,5.516,5.858,5.753,5.558,5.894,6.017,6.364,5.935,7.143,7.108,7.011,6.953,7.128,7.752,8.333,7.776,7.249,7.862,8.26,7.952,6.128,6.783,7.458,7.145,5.173,6.994,7.044,6.312,7.302,7.612,8.074,6.872,5.7,5.096,5.315,5.909,6.495,7.124,7.978,8.453,9.072,9.121,9.197,9.298,9.479,8.392,1.626,3.814,4.469,5.327,6.096,7.196,8.146,8.629,8.797,9.289,10.158,10.72,10.839,10.485,10.413,11.14,11.342,11.903,12.641,12.846,12.627,12.418,12.131,12.683,13.485,13.105,13.211,13.243,13.802,13.517,12.768,13.92,13.457,13.822,14.347,14.142,13.497,13.088,13.042,13.32,13.448,13.463,13.221,13.112,12.783,13.289,12.742,12.087,11.907,11.661,11.586,11.804,11.438,11.327,10.979,11.023,11.228,11.036,11.062,10.898,10.657,10.81,10.473,10.501,9.701,10.22,9.919,9.968,10.208,9.709,9.724,9.738,9.513,9.105,8.509,7.767,8.138,7.984
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.023,0.053,0.055,0.08,0.047,0.051,0.039,0.043,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.08,0.07,0.071,0.066,0.078,0.075,0.094,0.049,0.084,0.083,0.066,0.078,0.069,0.054,0.05,0.082,0.138,0.105,0.134,0.167,0.0,0.244,0.002,0.004,0.012,0.016,0.022,0.019,0.117,0.128,0.115,0.155,0.216,0.326,0.296,0.373,0.378,0.426,0.444,0.419,0.407,0.344,0.418,0.424,0.483,0.508,0.397,0.035,0.032,0.018,0.031,0.029,0.015,0.009,0.016,0.022,0.178,0.215,0.538,0.589,0.61,0.614,0.631,0.731,0.763,0.82,0.888,0.961,1.105,1.15,1.188,1.433,1.547,1.994,2.185,2.29,2.616,2.983,2.823,3.236,3.653,4.285,4.131,4.392,4.798,5.194,5.248,5.527,5.468,5.322,5.406,5.686,5.779,6.074,5.865,6.239,6.626,7.171,8.099,8.026,8.11,7.979,8.117,8.106,8.248,8.625,9.015,8.908,9.329,9.516,9.462,9.817,9.85,10.248,10.122,10.327,10.031,9.436,8.823,8.588,8.336,7.487,7.239,6.933,6.638,7.0,6.751,6.219,5.291,5.51,5.745
