population,energy_per_gdp,co2_per_capita,co2_per_gdp,temperature_change_from_ghg,total_ghg,avg_temp,EV,year,country
3124310,0.0,0.054,0.0,0.0,0.0,6.77,0,1807,Austria
3349015,0.0,0.075,0.0,0.0,0.0,6.49,0,1819,Austria
3367266,0.0,0.099,0.051,0.0,0.0,5.6,0,1820,Austria
3385004,0.0,0.106,0.0,0.0,0.0,6.07,0,1821,Austria
3402223,0.0,0.108,0.0,0.0,0.0,7.43,0,1822,Austria
3418916,0.0,0.102,0.0,0.0,0.0,5.82,0,1823,Austria
3435691,0.0,0.116,0.0,0.0,0.0,6.53,0,1824,Austria
3452549,0.0,0.117,0.0,0.0,0.0,6.56,0,1825,Austria
3469489,0.0,0.132,0.0,0.0,0.0,6.28,0,1826,Austria
3486512,0.0,0.137,0.0,0.0,0.0,6.29,0,1827,Austria
3503619,0.0,0.131,0.0,0.0,0.0,6.35,0,1828,Austria
3520820,0.0,0.135,0.0,0.0,0.0,4.24,0,1829,Austria
3538115,0.0,0.14,0.063,0.0,0.0,5.6,0,1830,Austria
3555505,0.0,0.135,0.0,0.0,0.0,6.26,0,1831,Austria
3572991,0.0,0.144,0.0,0.0,0.0,5.73,0,1832,Austria
3590572,0.0,0.119,0.0,0.0,0.0,6.06,0,1833,Austria
3608240,0.0,0.162,0.0,0.0,0.0,7.43,0,1834,Austria
3625995,0.0,0.175,0.0,0.0,0.0,5.69,0,1835,Austria
3643838,0.0,0.185,0.0,0.0,0.0,6.19,0,1836,Austria
3661768,0.0,0.193,0.0,0.0,0.0,5.21,0,1837,Austria
3679786,0.0,0.231,0.0,0.0,0.0,4.72,0,1838,Austria
3698789,0.0,0.286,0.0,0.0,0.0,6.11,0,1839,Austria
3718786,0.0,0.314,0.13,0.0,0.0,4.94,0,1840,Austria
3739787,0.0,0.353,0.0,0.0,0.0,6.76,0,1841,Austria
3761804,0.0,0.388,0.0,0.0,0.0,5.52,0,1842,Austria
3784847,0.0,0.335,0.0,0.0,0.0,6.23,0,1843,Austria
3808031,0.0,0.419,0.0,0.0,0.0,5.57,0,1844,Austria
3831357,0.0,0.47,0.0,0.0,0.0,5.57,0,1845,Austria
3854826,0.0,0.548,0.0,0.0,0.0,7.27,0,1846,Austria
3878438,0.0,0.537,0.0,0.0,0.0,5.45,0,1847,Austria
3902195,0.0,0.598,0.0,0.0,0.0,6.25,0,1848,Austria
3926782,0.0,0.576,0.0,0.0,0.0,5.72,0,1849,Austria
3952208,0.0,0.589,0.224,0.0,0.0,5.54,0,1850,Austria
3978557,0.0,0.587,0.0,0.0,0.0,5.39,0,1851,Austria
4005766,0.0,0.702,0.0,0.0,0.0,6.5,0,1852,Austria
4033846,0.0,0.799,0.0,0.0,0.0,5.35,0,1853,Austria
4062123,0.0,0.782,0.0,0.0,0.0,5.7,0,1854,Austria
4090598,0.0,0.905,0.0,0.0,0.0,5.19,0,1855,Austria
4119272,0.0,1.027,0.0,0.0,0.0,5.82,0,1856,Austria
4148148,0.0,1.175,0.0,0.0,0.0,6.04,0,1857,Austria
4177226,0.0,1.734,0.0,0.0,0.0,5.07,0,1858,Austria
4206120,0.0,1.395,0.0,0.0,0.0,6.65,0,1859,Austria
4234828,0.0,1.452,0.512,0.0,0.0,5.2,0,1860,Austria
4263344,0.0,1.496,0.0,0.0,0.0,6.19,0,1861,Austria
4291666,0.0,1.48,0.0,0.0,0.0,6.88,0,1862,Austria
4319789,0.0,1.36,0.0,0.0,0.0,7.28,0,1863,Austria
4348096,0.0,1.167,0.0,0.0,0.0,4.61,0,1864,Austria
4376588,0.0,1.223,0.0,0.0,0.0,6.24,0,1865,Austria
4405267,0.0,0.816,0.0,0.0,0.0,6.61,0,1866,Austria
4434134,0.0,1.108,0.0,0.0,0.0,6.09,0,1867,Austria
4463191,0.0,1.36,0.0,0.0,0.0,7.25,0,1868,Austria
4494618,0.0,1.443,0.0,0.0,0.0,6.42,0,1869,Austria
4528451,0.0,1.626,0.549,0.0,0.0,4.92,0,1870,Austria
4564726,0.0,2.222,0.705,0.0,0.0,4.77,0,1871,Austria
4603478,0.0,2.174,0.69,0.0,0.0,7.19,0,1872,Austria
4644744,0.0,2.31,0.757,0.0,0.0,6.5,0,1873,Austria
4686380,0.0,1.953,0.618,0.0,0.0,5.73,0,1874,Austria
4728390,0.0,1.662,0.528,0.0,0.0,5.27,0,1875,Austria
4770776,0.0,1.696,0.532,0.0,0.0,5.95,0,1876,Austria
4813542,0.0,1.513,0.463,0.0,0.0,6.18,0,1877,Austria
4856691,0.0,1.491,0.445,0.0,0.0,5.97,0,1878,Austria
4900094,0.0,1.809,0.549,0.0,0.0,5.1,0,1879,Austria
4943751,0.0,4.783,1.444,0.0,0.0,6.28,0,1880,Austria
4987664,0.0,2.068,0.605,0.0,0.0,5.44,0,1881,Austria
